accuracy,error_rate,average_response_time,completion_rate,current_difficulty,recommended_difficulty
42.5,72.3,9.61,48.8,Easy,Easy
76.4,31.6,5.54,77.8,Hard,Hard
89.6,8.3,1.7,90.5,Easy,Medium
63.2,29.5,6.74,70.9,Easy,Easy
36.8,56.5,14.43,59.7,Hard,Medium
48.2,63.6,15.6,40.1,Hard,Medium
93.9,17.2,1.4,94.2,Easy,Medium
94.5,1.7,3.81,87.1,Hard,Hard
40.8,72.4,17.54,63.1,Hard,Medium
91.8,1.9,2.85,87.6,Hard,Hard
66.6,33.1,7.06,81.0,Easy,Easy
70.0,43.3,4.48,67.3,Medium,Medium
34.7,72.1,16.05,41.7,Hard,Medium
46.7,54.5,12.37,41.0,Easy,Easy
98.7,8.8,2.15,95.9,Easy,Medium
78.4,39.5,5.92,72.5,Easy,Easy
53.3,49.1,18.21,52.3,Medium,Easy
91.8,13.7,1.04,91.8,Hard,Hard
89.2,8.8,1.91,98.8,Hard,Hard
23.9,79.9,18.55,39.9,Hard,Medium
100.0,13.3,2.95,86.4,Hard,Hard
21.0,53.4,9.72,57.2,Hard,Medium
43.0,46.3,8.07,31.8,Hard,Medium
75.0,26.0,7.4,66.1,Easy,Easy
47.0,69.4,18.06,31.4,Hard,Medium
82.5,10.1,3.24,94.5,Hard,Hard
94.7,3.9,1.81,95.6,Easy,Medium
41.4,46.9,15.4,31.5,Hard,Medium
26.1,48.2,10.2,64.3,Easy,Easy
74.6,35.9,6.29,67.9,Hard,Hard
91.6,14.0,2.95,99.1,Easy,Medium
90.2,8.1,2.42,86.8,Hard,Hard
86.1,8.6,2.83,94.5,Hard,Hard
65.2,25.4,6.35,71.3,Easy,Easy
66.9,25.6,6.29,76.3,Hard,Hard
42.7,67.8,11.79,57.6,Easy,Easy
70.7,29.0,6.05,79.7,Medium,Medium
52.2,62.6,14.24,58.0,Medium,Easy
37.3,49.1,8.86,59.5,Easy,Easy
85.6,6.7,1.52,89.7,Easy,Medium
96.5,17.1,2.12,87.3,Easy,Medium
58.0,29.1,7.83,84.9,Hard,Hard
93.8,14.1,2.16,94.6,Medium,Hard
84.2,10.5,1.49,87.5,Hard,Hard
39.5,74.4,19.88,35.0,Medium,Easy
64.8,22.0,7.02,73.7,Hard,Hard
83.6,18.1,1.13,88.5,Medium,Hard
89.8,11.7,2.48,86.3,Medium,Hard
42.3,67.7,16.04,56.7,Easy,Easy
87.3,10.8,2.02,97.7,Easy,Medium
49.8,62.7,18.91,50.5,Easy,Easy
31.9,62.5,14.38,33.7,Medium,Easy
42.1,51.2,12.07,36.7,Easy,Easy
98.5,9.0,1.92,94.0,Medium,Hard
94.1,12.7,3.95,94.3,Medium,Hard
74.0,42.6,6.88,84.3,Easy,Easy
24.0,70.6,13.28,49.4,Medium,Easy
53.9,79.5,11.46,55.7,Hard,Medium
82.5,0.8,3.33,92.3,Hard,Hard
36.3,79.2,12.94,57.8,Hard,Medium
75.1,43.1,7.29,65.7,Medium,Medium
56.2,22.7,6.7,79.3,Easy,Easy
45.9,73.0,8.59,38.2,Medium,Easy
76.5,20.1,6.06,78.5,Hard,Hard
77.4,36.8,4.95,82.1,Medium,Medium
97.1,6.0,2.77,91.0,Easy,Medium
26.6,48.0,12.1,55.1,Easy,Easy
55.0,55.4,12.9,34.8,Easy,Easy
44.5,65.8,12.71,62.0,Easy,Easy
58.4,29.1,4.27,69.0,Medium,Medium
70.9,28.6,5.68,84.2,Medium,Medium
38.9,55.0,18.76,38.2,Easy,Easy
38.5,71.0,15.09,52.9,Medium,Easy
84.8,6.4,1.47,98.1,Easy,Medium
74.8,39.6,5.75,74.5,Easy,Easy
43.6,73.5,18.83,57.6,Easy,Easy
57.5,36.3,7.82,75.3,Medium,Medium
55.9,44.0,4.41,65.8,Easy,Easy
89.1,10.3,1.94,85.8,Easy,Medium
87.7,1.2,3.09,88.1,Easy,Medium
65.4,20.0,4.45,82.3,Hard,Hard
90.2,9.8,2.0,91.5,Easy,Medium
29.1,56.3,10.91,46.8,Medium,Easy
28.0,56.6,19.16,31.7,Hard,Medium
25.3,46.7,9.66,62.2,Medium,Easy
83.8,0.6,1.33,94.3,Medium,Hard
69.8,41.2,4.02,82.1,Medium,Medium
59.1,39.3,7.42,70.1,Easy,Easy
70.1,44.6,5.45,81.3,Easy,Easy
96.0,12.0,1.65,91.2,Hard,Hard
80.6,6.9,1.06,87.5,Medium,Hard
44.8,70.9,11.81,61.2,Easy,Easy
82.9,13.9,1.52,92.6,Easy,Medium
20.1,45.6,19.92,50.5,Medium,Easy
50.8,63.8,15.46,39.6,Medium,Easy
91.9,5.9,2.99,97.5,Easy,Medium
60.8,41.8,5.01,77.2,Easy,Easy
64.9,36.9,6.9,76.3,Easy,Easy
34.7,63.0,8.15,57.9,Easy,Easy
65.2,22.4,7.56,72.9,Hard,Hard
99.2,3.6,1.6,97.9,Easy,Medium
27.4,61.4,16.8,60.7,Hard,Medium
73.5,38.3,7.13,76.4,Medium,Medium
98.1,17.3,3.39,86.5,Medium,Hard
20.8,79.3,12.53,55.2,Easy,Easy
33.8,56.2,15.3,50.3,Easy,Easy
78.4,31.7,4.79,72.5,Medium,Medium
58.3,24.1,6.74,71.8,Medium,Medium
82.0,15.1,3.64,89.2,Easy,Medium
83.7,10.4,2.41,88.9,Hard,Hard
79.0,36.3,5.98,67.2,Easy,Easy
85.9,15.3,3.63,98.5,Easy,Medium
53.4,47.5,9.65,40.7,Easy,Easy
57.4,41.1,6.47,75.8,Hard,Hard
83.2,17.0,2.75,96.0,Medium,Hard
87.4,8.1,3.28,96.6,Easy,Medium
24.2,76.4,9.2,39.3,Easy,Easy
26.3,59.5,13.4,38.6,Easy,Easy
50.6,56.9,14.37,38.7,Hard,Medium
83.2,18.8,3.66,96.7,Hard,Hard
68.2,33.4,5.74,67.6,Easy,Easy
99.0,9.6,3.86,87.5,Medium,Hard
85.1,0.6,1.36,98.8,Medium,Hard
92.2,9.3,2.2,93.0,Medium,Hard
48.6,71.0,13.63,35.4,Medium,Easy
31.9,46.8,12.11,57.8,Easy,Easy
47.8,52.4,19.09,45.3,Medium,Easy
55.1,44.8,5.12,66.2,Medium,Medium
83.0,12.6,2.18,98.8,Medium,Hard
94.5,9.2,2.98,94.0,Medium,Hard
32.0,51.2,16.14,59.6,Easy,Easy
89.0,17.8,3.25,99.9,Medium,Hard
30.6,78.2,12.4,55.8,Medium,Easy
69.0,38.0,6.04,83.1,Medium,Medium
63.6,30.2,5.76,67.5,Easy,Easy
93.3,13.1,2.99,85.3,Medium,Hard
95.6,17.2,1.74,95.0,Hard,Hard
85.5,2.8,1.85,95.1,Easy,Medium
90.8,14.0,3.86,94.2,Hard,Hard
92.5,6.4,3.93,91.0,Hard,Hard
88.0,17.5,2.83,91.7,Medium,Hard
49.9,56.3,14.53,47.1,Hard,Medium
84.9,18.3,3.77,97.6,Medium,Hard
46.1,71.8,17.15,46.8,Medium,Easy
92.9,5.8,1.77,93.8,Medium,Hard
60.5,40.4,7.44,68.4,Medium,Medium
